ItemID,Retailer Name,Outlet Brand,Outlet Description,Outlet Description Supplement,Outlet Model Number,Outlet UPC,SKU,ITEMID,COUNTRY_CODE,CATEGORY_NAME,SUBCATEGORY_NAME,BRAND,DESCRIPTION,MODELNUM,KeyVal
5275067,ABC Warehouse,GPX,IAHB53B BLUETOOTH HEADPHONES,ELECT AUDIOBLUETOOTH & WIRELESS HP,IAHB53B,047323704918,43357,5275067,USA,Stereo Headphones,Stereo Headphones,iLive,IAHB53B Over-the-Head Bluetooth Stereo Headphones Black,IAHB53BBLACK,
5228901,Adorama Camera,BENQ,BENQ TK710 4K ULTRA HD HDR LASER DLP HOME THEATER GAMING PROJECTOR,HOME THEATERPROJECTORS,TK710,840046050030,BQTK710,5228901,USA,Projectors,Projectors,BenQ,TK710 DLP Projector 3200 4K 3840x2160 Lumens,TK710,
5272887,Adorama Camera,APUTURE,"APUTURE LIGHT STORM 600X PRO BI-COLOR LED LIGHT, AB-MOUNT",LIGHTING & STUDIOCONTINUOUS LIGHTING,APA0173A24,6971842181612,APLS6XPROAUS,5272887,USA,Digital Imaging Accessories,Flashes & Lighting,Aputure,LS 600x Pro Lamp Head with AB-Mount Battery Plate,ALS600XPROAUS,
5272075,Adorama Camera,BLACKMAGIC DESIGN,BLACKMAGIC DESIGN AUDIO MONITOR 12G G3 AUDIO AND VIDEO MONITORING,WIRELESS & LIVE STREAMINGVIDEO SWITCHING & DISTRIBUTION,HDL-AUDMON1RU12GG3,9338716008715,BMD12G3,5272075,USA,Other Multimedia,Other Multimedia Accessories,Blackmagic Design,HDL-AUDMON1RU12GG3 Audio and Video Monitoring,HDLAUDMON1RU12GG3,
5272072,Adorama Camera,SONY,SONY CREATOR ACCESSORY KIT II WITH SHOOTING GRIP/TRIPOD AND VLOGGER SHOTGUN MICROPHONE,CAMERA ACCESSORIESREMOTE CONTROLS,ACCVC2,027242298828,ISOACCVC2,5272072,USA,Digital Imaging Accessories,Other Imaging Accessories,Sony,ACCVC2 Handle Grip/Tripod,ACCVC2,
5272060,Adorama Camera,PELICAN,"PELICAN M50 WATERPROOF HARD MICRO CASE, MEDIUM, BLACK",PHOTOGRAPHY BAGS & CASESHARD SHELL CASES,M500-0250-110,019428182960,PLM50BK,5272060,USA,Digital Imaging Accessories,Cases and Straps,Pelican Products,M500-0250-110 M50 Waterproof Hard Micro Case,M5000250110,
5272014,Adorama Camera,SKYDIO,SKYDIO SPARE PROPELLER BLADES SET FOR SKYDIO X2 DRONE,DRONE ACCESSORIES,SKYX2PRP100NA,,SKYX2PRP100,5272014,USA,Total Drones,Drone Accessories,Private Label,Propeller Blades for Skydio X2,SKYX2PRP100NA,
5272061,Adorama Camera,NANUK,NANUK 991 WHEELED WATERPROOF HARD CASE WITH FOAM INSERT,PHOTOGRAPHY BAGS & CASESHARD SHELL CASES,991S-010BK-0B0,666365066497,NA991S1BK0B0,5272061,USA,Digital Imaging Accessories,Cases and Straps,Nanuk,991S-010BK-0B0 991 Hard Case with Foam,991S010BK0B0,
5270648,Adorama Camera,DJI,DJI MINI 3 DRONE WITH RC REMOTE CONTROLLER,DRONES,CP.MA.00000587.01,6941565949271,DJIMINI3RC,5270648,USA,Total Drones,Drones,DJI,Mini 3 Quadcopter Drone w/Remote Controller,CPMA0000058701,
5272887,Adorama Camera,APUTURE,"APUTURE LIGHT STORM 600X PRO BI-COLOR LED LIGHT, AB-MOUNT",LIGHTING & STUDIOCONTINUOUS LIGHTING,ALS600XPROAUS,6971842181612,APLS6XPROAUS,5272887,USA,Digital Imaging Accessories,Flashes & Lighting,Aputure,LS 600x Pro Lamp Head with AB-Mount Battery Plate,ALS600XPROAUS,
