BUSINESS,CATEGORY,CATEGORY_ATTRIBUTE
Accessories,Backpacks,Activity
Accessories,Backpacks,Bag Size
Accessories,Backpacks,Battery Charged
Accessories,Backpacks,Brand Logo
Accessories,Backpacks,Closure
Accessories,Backpacks,Hydration Compatible
Accessories,Backpacks,Hydration Included
Accessories,Backpacks,License
Accessories,Backpacks,Licensee
Accessories,Backpacks,Licensor
Accessories,Backpacks,Material
Accessories,Backpacks,Multi-FunctionalMulti-Purpose Strap
Accessories,Backpacks,Pack Volume
Accessories,Backpacks,Saffiano Leather
Accessories,Backpacks,Size - Inches
Accessories,Backpacks,Sling
Accessories,Backpacks,Tech Pocket Size
Accessories,Backpacks,Transparent/Clear
Accessories,Backpacks,Wheels
Accessories,Belts,Evening
Accessories,Belts,Handbag Silhouette
Accessories,Fanny/Waist/Chest Packs,Fanny Pack Volume
Accessories,Garment Bags,Carry On
Accessories,Garment Bags,Expandable
Accessories,Garment Bags,Spinners
Accessories,Handbags,Direction
Accessories,Sunglasses,Interchangeable Lenses
Accessories,Sunglasses,Photochromic
Accessories,Sunglasses,Polarized
Accessories,Wallet,Mobile Phone Sleeve
Accessories,Wallet,Wallet Closure
Accessories,Wallet,Wallet Shape
Accessories,Watches,Band Type
Accessories,Watches,Case Material
Accessories,Watches,Case Shape
Accessories,Watches,Chronograph
Accessories,Watches,Day/Date
Accessories,Watches,Gemstones
Accessories,Watches,No Band
Accessories,Watches,Primary Analog/Digital
Accessories,Watches,Primary Band Material
Accessories,Watches,Watch Type
Accessories,Watches,Water Proof
Accessories,Watches,Water-Resistant
Apparel,Apparel Accessories,Baselayer Protective/Padding
Apparel,Apparel Accessories,Compression
Apparel,Apparel Accessories,Glove Hybrid
Apparel,Apparel Accessories,GloveMitten Type
Apparel,Apparel Accessories,Handwear Type
Apparel,Apparel Accessories,Moisture Wicking
Apparel,Apparel Accessories,Pack Count
Apparel,Athletic Sets,Bottom Fit
Apparel,Athletic Sets,Bottom Length
Apparel,Athletic Sets,Bottom Style
Apparel,Athletic Sets,Fabrication
Apparel,Athletic Sets,Fiber/Fabric Type
Apparel,Athletic Sets,Graphic/Logo
Apparel,Athletic Sets,Hooded
Apparel,Athletic Sets,Leg Opening
Apparel,Athletic Sets,Legging
Apparel,Athletic Sets,Pullover
Apparel,Athletic Sets,Sleeve Length
Apparel,Athletic Sets,Stretch
Apparel,Athletic wear,Character License
Apparel,Bottoms,Ankle Trend
Apparel,Bottoms,Bottom Silhouette
Apparel,Bottoms,Cargo
Apparel,Bottoms,Cycling Apparel Type
Apparel,Bottoms,Pleats
Apparel,Bottoms,Rise
Apparel,Bottoms,Sport License
Apparel,Bottoms,Tablines
Apparel,Bottoms,Tabslack
Apparel,Bottoms,Wrinkle Free
Apparel,Cold Weather Undergarments,Coldweather
Apparel,Intimates,Bra - Maternity
Apparel,Intimates,Bra Boxed
Apparel,Intimates,Bra Closure
Apparel,Intimates,Bra Cup Fiber - Cotton
Apparel,Intimates,Bra Cup Fiber - Nylon
